INSTITUIÇÃO;CONTRATO;TIPO PESSOA;DOCUMENTO;FINANCIADO;UF;ULTIMO EVENTO;DATA;HORA;PROTESTO;TAGS;BOLETO Á VENCER;PASTA(AT);PASTA(AT)ABERTA;PASTA(AD);PASTA(AD)ABERTA;HOT;BOM;INDEFINIDO;RUIM;R$ VENCIDAS;R$ VINCENDAS;R$ VENCIDAS + VINCENDAS;DIAS DE ATRASO;PARCELAS ATRASADAS;1º PARCELA;QTDE. PARCELAS RESTANTES;PLANO;DETALHE EVENTO;USÚARIO;BENS;BOLETO GERADO POR;CODIGO PESSOA;TIPO PESSOA.1;MARCA;MODELO;CHASSIS;PLACA;RENAVAM;COR;ANO;COMBUSTIVEL
da Mata Ltda.;7724074;Jurídica;324.580.976-00;Dr. José Cardoso;PB;Atraso;2024-03-02;06:39:31;Não;Inadimplente;2;False;True;True;True;False;True;False;True;8241.63;1015.26;18946.03;92;3;2024-07-16;34;B;Harum adipisci voluptate.;nrios;Terreno;Sistema B;606181;Física;Fonseca Ribeiro e Filhos;laudantium;5249539553;PWM-4G50;23871804682;Azul;2021;Diesel
Mendonça Machado - ME;3619610;Física;936.140.278-13;Pedro Lucas Brito;AL;Pagamento;2024-08-25;07:45:27;Sim;Recente;5;False;True;True;True;False;True;False;True;7670.64;2536.42;3065.87;327;5;2024-03-15;10;C;Tenetur incidunt dolore eius.;thalesaragao;Terreno;Sistema B;9681560;Jurídica;Mendes;quos;0201440988;VVJ-8Y37;07115321891;Azul;2021;GNV
Rezende;0942612;Física;126.097.483-96;Olívia da Luz;RR;Protesto;2024-09-22;06:32:49;Sim;Cliente VIP;1;False;True;False;True;False;True;True;False;8090.03;7848.5;19707.64;335;7;2024-02-20;5;B;Maiores eligendi enim sed.;lda-costa;Carro;Sistema A;1261869;Jurídica;das Neves;at;7331784107;QCF-7M92;64138651343;Prata;2003;Híbrido
Araújo;0489975;Jurídica;462.953.108-42;Melina Duarte;RR;Protesto;2024-08-23;17:00:01;Não;Inadimplente;2;False;True;True;False;True;True;True;False;7278.79;6281.8;4439.51;293;9;2024-07-01;32;A;Non eum quidem repellat.;jesuspietra;Terreno;Sistema B;8655262;Física;Aparecida e Filhos;ad;5206429696;YSB-0N34;38726435224;Azul;2017;Diesel
Barbosa;6541920;Física;83.706.195/0001-17;Nina Fernandes;PR;Pagamento;2024-08-16;15:32:19;Não;Inadimplente;3;False;False;True;True;True;False;False;False;9297.18;7461.85;12205.52;363;10;2024-07-06;19;C;Quas eligendi saepe laudantium vitae.;sofiagomes;Casa;Sistema C;6412221;Física;Vargas Câmara S.A.;assumenda;5786418844;DNZ-9R40;24966388252;Vermelho;2018;Etanol
Andrade - EI;9672881;Física;370.158.496-66;Murilo das Neves;TO;Atraso;2024-04-18;06:24:03;Sim;Cliente VIP;0;False;True;True;True;True;False;False;False;548.38;7257.59;13025.46;58;3;2024-02-02;30;A;Ratione alias fugiat earum accusantium.;nabreu;Moto;Sistema C;339680;Jurídica;Peixoto;debitis;5725948970;SAQ-8L38;69292063183;Prata;2005;Híbrido
Brito;9830286;Física;78.219.403/0001-13;Sr. João Nunes;AP;Pagamento;2024-03-04;14:27:53;Não;Inadimplente;5;True;False;False;True;True;True;True;False;1184.23;8574.2;3655.51;102;3;2024-04-18;59;D;In expedita totam.;souzajose-miguel;Carro;Sistema A;905443;Jurídica;da Costa;necessitatibus;0710750727;LRX-3O64;88616895412;Prata;2002;Etanol
Almeida Rodrigues S.A.;2993486;Física;742.368.150-44;Anna Liz Vargas;AP;Protesto;2024-03-01;23:21:19;Sim;Cliente VIP;2;True;True;False;False;True;True;False;True;8669.03;2088.7;7502.0;284;8;2024-08-07;6;C;Aliquam dignissimos blanditiis.;hellena92;Terreno;Sistema A;4330363;Jurídica;Casa Grande;voluptatem;0477927338;FCE-9P66;90349033550;Preto;2011;Diesel
da Rosa;1214395;Jurídica;81.290.675/0001-14;Melina Albuquerque;PI;Pagamento;2024-03-19;15:29:14;Não;Recente;3;False;True;True;True;False;False;False;True;1984.75;9751.1;1230.7;156;0;2024-05-18;19;B;Quasi veniam at eligendi atque.;ayllamacedo;Terreno;Sistema C;6265990;Jurídica;Martins;eius;0576354521;URL-5W64;08498917615;Preto;2009;Etanol
Farias Mendonça - ME;3943188;Jurídica;16.327.095/0001-92;Ísis Vasconcelos;DF;Protesto;2024-06-03;10:07:58;Não;Fidelizado;3;True;True;True;True;False;False;False;False;2422.04;3876.56;5782.81;29;10;2024-02-23;29;A;Accusamus animi officiis iure maiores.;nvargas;Terreno;Sistema C;6962757;Física;Peixoto;quam;5227468350;PON-8M60;73046704129;Vermelho;2014;Etanol
Ramos;1574732;Física;24.683.150/0001-05;Leandro Cassiano;AP;Atraso;2024-03-10;06:51:26;Sim;Inadimplente;0;True;True;True;True;True;False;True;False;9089.27;9598.76;5291.62;44;4;2024-08-27;20;B;Earum ut distinctio odit.;pimentagabrielly;Carro;Sistema B;4885856;Física;Souza;aut;0565517361;DRM-5N36;06257620250;Branco;2015;Gasolina
da Rocha;3935278;Física;17.829.503/0001-77;Ísis Ferreira;CE;Pagamento;2024-09-21;13:07:37;Não;Fidelizado;0;True;True;True;False;True;False;True;True;2256.68;5744.61;7118.62;3;0;2024-04-25;3;C;Blanditiis sed tempore voluptatem quidem autem.;isaac05;Carro;Sistema A;5456220;Jurídica;Novais;libero;2679283270;GBT-8N69;36967993406;Azul;2019;Gasolina
Ferreira;0378015;Física;35.419.082/0001-98;Valentim Marques;GO;Negociação;2024-03-30;17:36:01;Sim;Recente;3;True;False;False;True;False;True;True;True;3022.16;1799.38;692.82;227;7;2024-01-18;46;B;A porro debitis iure.;fernandeslaura;Terreno;Sistema B;914552;Jurídica;Siqueira Rezende e Filhos;eius;5617135224;GYK-9B82;17845297962;Branco;2009;Etanol
Ribeiro;8770306;Jurídica;81.320.457/0001-85;Marcos Vinicius Alves;MS;Pagamento;2024-05-21;02:15:16;Sim;Cliente VIP;0;False;True;True;True;False;True;True;True;5667.54;8633.03;2010.89;164;4;2024-01-23;10;D;Exercitationem aliquam cum.;manuellacamargo;Terreno;Sistema C;438571;Física;Marques;rem;5588232987;WFY-6N82;33977587461;Preto;2000;Etanol
Macedo Sampaio - EI;7560382;Jurídica;980.631.524-33;Arthur Miguel Cavalcante;PI;Protesto;2024-06-29;02:51:26;Não;Cliente VIP;3;False;False;False;False;True;True;True;False;2200.5;1165.33;5720.2;312;5;2024-02-10;58;C;Accusamus dicta id vitae neque nesciunt.;dviana;Terreno;Sistema B;8935231;Física;Rezende;dolores;4754839386;QTD-7I31;13921837584;Branco;2022;Gasolina
Castro da Costa - ME;0704925;Física;065.819.473-93;Maria Laura Cavalcante;SP;Negociação;2024-04-15;09:02:19;Não;Recente;2;True;True;True;False;False;True;False;True;8266.16;3347.24;2461.96;73;0;2024-05-15;47;A;Deserunt ratione soluta nihil.;pietramoura;Carro;Sistema B;7455942;Jurídica;da Rocha Caldeira e Filhos;doloremque;0689781011;YEJ-0P51;21426635746;Preto;2005;Etanol
Viana;2923756;Física;98.401.365/0001-22;Gael Alves;MS;Negociação;2024-07-09;04:05:27;Não;Recente;4;False;False;True;False;True;False;True;True;3886.02;1823.57;4332.82;78;5;2024-08-23;14;C;Ullam praesentium voluptate cum rem hic.;da-pazliam;Moto;Sistema C;2660937;Física;Abreu;debitis;3159230055;XHC-6N16;29002771322;Vermelho;2017;Híbrido
da Rocha - EI;1408512;Jurídica;907.582.364-92;Bianca Gonçalves;RO;Atraso;2024-01-30;14:26:28;Sim;Recente;5;True;False;False;False;False;False;False;True;320.35;4457.93;7372.25;220;7;2024-03-28;5;C;Consectetur aliquid eaque quasi.;domcardoso;Terreno;Sistema B;394233;Jurídica;Fonseca;vero;2245787271;XHB-1X02;50091965491;Preto;2002;Etanol
Vasconcelos Ltda.;1909786;Jurídica;61.740.923/0001-74;Isabelly da Rosa;MT;Pagamento;2024-08-31;02:21:51;Sim;Fidelizado;5;False;True;True;True;True;False;True;True;2427.08;5570.73;17030.93;5;6;2024-03-29;36;A;Odit occaecati magnam sequi autem temporibus quas.;calebe54;Casa;Sistema A;4127092;Física;Porto Câmara e Filhos;nihil;0124515453;KNU-9C36;68478966651;Azul;2006;Gasolina
Vieira Teixeira S/A;5198281;Jurídica;183.249.056-42;Guilherme Oliveira;PA;Protesto;2024-05-24;18:13:16;Não;Cliente VIP;1;True;True;True;True;False;True;False;True;3495.86;3607.13;13621.86;15;4;2024-07-03;44;B;Qui delectus aspernatur tempora.;enzo-gabrielda-mota;Carro;Sistema B;1879148;Física;Teixeira da Luz S/A;doloribus;4239168714;UPP-1Q35;57430526430;Preto;2023;Etanol
Vieira Gomes S.A.;8247788;Física;823.416.079-69;Rhavi Duarte;RR;Pagamento;2024-08-09;22:51:32;Sim;Inadimplente;4;False;True;True;True;False;True;False;False;6202.64;8056.8;7221.21;52;2;2024-02-27;54;B;Quae voluptatum incidunt rem consectetur ullam.;gael-henrique96;Terreno;Sistema C;6980273;Física;Fonseca;neque;4144635954;WGG-5Y98;40781281644;Branco;2014;GNV
Souza Nogueira - EI;4520804;Jurídica;87.635.104/0001-50;Calebe Viana;PA;Protesto;2024-05-23;13:36:01;Não;Inadimplente;5;False;False;False;False;True;False;False;True;2672.59;3667.33;16982.57;126;4;2024-09-16;56;B;Magni eligendi in consequuntur occaecati hic.;enzo42;Carro;Sistema C;2147100;Jurídica;da Cunha - EI;incidunt;4209223706;KSK-5G78;13776044708;Vermelho;2020;Diesel
da Costa - EI;0478339;Física;614.702.538-44;Nicole Araújo;PB;Pagamento;2024-03-25;04:02:00;Não;Fidelizado;3;False;False;True;True;True;False;False;True;2048.94;8450.5;11813.76;177;4;2024-01-30;9;B;Rem iste nobis placeat corrupti quis.;pfarias;Terreno;Sistema A;7587700;Jurídica;Ribeiro;unde;6476442160;ZUD-8N78;90953466117;Azul;2008;Gasolina
Andrade Sampaio - ME;2352887;Jurídica;726.038.591-02;Davi Luiz da Costa;SE;Protesto;2024-06-14;12:25:12;Não;Fidelizado;1;True;False;True;False;True;True;False;False;378.0;8418.95;16530.95;109;6;2024-03-09;18;A;Ratione saepe impedit aliquam fugiat dignissimos.;sampaiosara;Casa;Sistema A;9061655;Jurídica;Nunes S/A;maxime;7231793960;STI-4Z79;06215632482;Prata;2006;GNV
Pastor;4399303;Jurídica;89.734.516/0001-73;Srta. Letícia Cirino;RJ;Atraso;2024-04-16;15:34:36;Não;Inadimplente;5;False;True;True;False;True;True;True;True;2083.74;9618.86;4448.86;212;7;2024-05-11;11;B;Tenetur distinctio deleniti tempora id.;eduardo48;Carro;Sistema C;4262869;Jurídica;Novais S/A;amet;4873917471;GFL-8E01;55824286250;Vermelho;2010;Etanol
Pastor;9544737;Jurídica;97.480.365/0001-00;Liam da Cruz;TO;Atraso;2024-02-24;01:24:05;Não;Recente;4;True;True;False;False;True;False;True;True;7460.59;6821.24;14170.57;93;5;2024-03-30;27;D;Quasi temporibus repellendus modi repellendus rem.;maria31;Moto;Sistema A;595812;Jurídica;Macedo - ME;optio;9917910172;MFS-2C44;80145611634;Preto;2022;GNV
Melo - EI;6577360;Jurídica;826.403.791-78;Juliana Gonçalves;GO;Atraso;2024-04-10;14:53:00;Sim;Recente;4;True;False;False;True;True;True;True;True;3730.09;9251.9;8556.28;299;7;2024-04-28;55;B;Sunt quia quis inventore.;gustavo73;Moto;Sistema A;5847151;Jurídica;Cavalcanti;debitis;5614136220;FFK-5Q05;68270804370;Prata;2013;Gasolina
Cirino S/A;8928961;Física;140.729.653-16;Bruna Monteiro;DF;Pagamento;2024-02-29;09:36:15;Não;Fidelizado;1;True;False;False;True;False;True;True;True;3581.75;655.92;19318.56;87;9;2024-09-01;10;C;Dolore natus incidunt voluptatum.;britoana-luiza;Moto;Sistema C;8959134;Física;Sousa;asperiores;6542093970;USA-0R64;88117839405;Azul;2009;GNV
Ferreira;6469857;Física;053.869.274-00;Otto Costa;TO;Atraso;2024-04-25;02:01:54;Não;Fidelizado;2;True;False;True;False;True;False;True;True;7105.6;152.11;1794.07;230;8;2024-02-16;55;D;Nam laborum aspernatur tempore a veritatis.;danilomoura;Moto;Sistema B;1338780;Jurídica;Barbosa;nisi;3463648489;TKR-7X82;78954951566;Branco;2014;Gasolina
Montenegro;2897682;Jurídica;91.564.280/0001-16;Rodrigo Aragão;DF;Negociação;2024-08-03;01:02:03;Não;Fidelizado;4;True;False;True;True;True;False;True;True;2894.2;3115.45;6066.68;246;1;2024-04-29;13;C;Tenetur maiores minima vero.;jfogaca;Moto;Sistema B;6376480;Física;Carvalho Jesus S/A;officia;1934589479;TER-8J07;56442791163;Vermelho;2021;Híbrido
Duarte;2027612;Jurídica;690.325.784-56;Dr. Augusto Machado;RN;Atraso;2024-05-22;22:49:04;Sim;Cliente VIP;0;False;True;False;True;False;False;True;True;7475.01;2185.72;8415.42;87;8;2024-02-28;25;A;Magnam repellat dolorem sed tempore voluptates.;ncassiano;Casa;Sistema B;4188511;Jurídica;Albuquerque;quas;4725284667;LQX-2T84;13141193455;Vermelho;2002;Gasolina
Pires Leão Ltda.;0799719;Jurídica;496.215.308-06;Léo Ramos;PB;Atraso;2024-08-11;12:23:36;Sim;Recente;5;True;True;True;True;False;True;True;False;4146.28;6481.75;2333.03;337;6;2024-04-04;14;C;Architecto ab placeat.;viniciussantos;Terreno;Sistema B;7671306;Jurídica;da Costa S/A;commodi;2344925703;JGR-5N73;33227714807;Prata;2015;Gasolina
da Rocha;9398265;Física;836.974.215-73;Sr. Alexandre Novaes;RO;Negociação;2024-09-05;07:45:25;Sim;Fidelizado;2;False;False;True;False;True;True;True;False;8784.07;1340.24;4512.63;113;6;2024-01-28;53;D;Eligendi similique illo provident.;oliveiraluiz-miguel;Moto;Sistema A;1801658;Física;Macedo Gomes S/A;error;0794523434;CMR-4B28;09154003969;Prata;2012;Gasolina
da Paz;8107628;Física;701.845.962-11;Eloah Pereira;BA;Protesto;2024-08-21;13:56:11;Sim;Fidelizado;4;False;False;False;False;False;True;False;True;8919.68;5581.02;2129.43;81;5;2024-08-08;21;C;Incidunt quae ex nam neque enim.;vaparecida;Casa;Sistema A;7126770;Física;Moura da Rocha - EI;corporis;0486694251;DYQ-8O14;38808069717;Vermelho;2017;Diesel
Montenegro Silveira e Filhos;5878021;Jurídica;034.697.518-20;Natália Vargas;AP;Atraso;2024-08-01;11:29:14;Sim;Inadimplente;5;False;True;True;True;False;True;False;False;3531.51;4775.02;10112.82;352;4;2024-05-10;53;D;Velit nobis possimus vel earum facere.;joaquim71;Terreno;Sistema A;5358425;Jurídica;Novaes Teixeira S/A;molestiae;2941277637;ZHV-9B30;28666108581;Preto;2015;Híbrido
Fonseca;3558196;Jurídica;362.709.415-80;Dra. Ana Vitória Sales;PI;Atraso;2024-05-20;00:40:56;Não;Inadimplente;0;False;True;True;True;False;False;True;False;9411.16;5206.01;2953.24;86;2;2024-08-31;45;A;Officia ea dolores maiores nulla.;dda-rocha;Carro;Sistema A;3094075;Física;Rodrigues - EI;modi;7770304953;FCE-2V87;49695984313;Vermelho;2013;Gasolina
Albuquerque Oliveira Ltda.;8178336;Jurídica;834.591.062-98;Thomas Andrade;PE;Atraso;2024-03-30;17:33:25;Não;Recente;0;True;False;True;False;True;True;False;False;400.66;8395.52;19517.62;32;2;2024-08-03;33;D;Harum quae praesentium odit vel corrupti.;maria-fernanda00;Carro;Sistema A;4827672;Jurídica;Souza Moreira Ltda.;quam;0401060842;GCK-5Y03;03568742219;Prata;2003;Gasolina
Silveira da Cruz - EI;7296141;Física;689.142.703-78;Dr. Enrico Vieira;AM;Protesto;2024-03-01;04:26:24;Não;Inadimplente;1;False;False;False;True;False;True;False;False;7079.71;7689.36;8111.92;91;8;2024-09-18;44;D;Iure quae impedit at id.;rodrigueserick;Moto;Sistema A;3315267;Jurídica;Castro;molestiae;5453853435;BTS-5X17;84521721005;Vermelho;2005;Híbrido
Pimenta;7506624;Jurídica;05.129.643/0001-53;Sarah Correia;RS;Negociação;2024-02-03;18:36:48;Sim;Inadimplente;0;True;False;False;False;True;True;True;True;6356.62;6289.57;12387.26;280;6;2024-02-04;41;A;Asperiores excepturi dolorem reiciendis expedita asperiores.;lmonteiro;Terreno;Sistema A;2687467;Física;Castro Gomes e Filhos;earum;5634343327;ZAG-4Z13;82697155100;Vermelho;2017;Diesel
Marques Ribeiro Ltda.;8753941;Física;805.197.642-85;Luigi Ferreira;RR;Protesto;2024-05-28;23:46:21;Sim;Inadimplente;2;True;False;False;False;False;True;True;True;923.51;8040.39;7545.05;215;7;2024-08-09;11;B;Quod praesentium totam.;ian19;Carro;Sistema B;4499957;Jurídica;Pacheco;iste;0652584157;QFH-2P02;40571538825;Vermelho;2012;Híbrido
Câmara e Filhos;8321075;Física;04.931.857/0001-86;Dr. José Miguel das Neves;AM;Protesto;2024-10-06;14:41:24;Sim;Recente;5;False;False;True;True;False;False;False;False;9767.8;8962.56;7005.3;179;4;2024-08-24;6;A;Sapiente id sint architecto tempora.;lmelo;Moto;Sistema C;7957233;Física;Campos;aperiam;1374382592;JUN-5J38;82841652251;Prata;2007;Etanol
da Mata - ME;2168793;Física;42.769.503/0001-76;Sofia Porto;AC;Negociação;2024-05-18;13:25:42;Não;Cliente VIP;2;False;False;False;False;False;True;False;True;7478.34;4486.01;17537.93;193;0;2024-02-09;37;A;Explicabo necessitatibus explicabo.;svargas;Moto;Sistema C;8563315;Física;da Mata;asperiores;1504044624;YWJ-8V29;23081822406;Prata;2002;GNV
Montenegro;6323741;Jurídica;052.974.316-70;Nina Moraes;RR;Atraso;2024-07-27;05:48:01;Não;Fidelizado;0;False;False;False;False;False;True;True;True;5348.18;9862.49;11174.92;86;2;2024-05-26;44;B;Commodi sed voluptatibus.;correiamariah;Terreno;Sistema C;4277399;Jurídica;Martins Porto e Filhos;amet;9714522050;FLA-2C24;55643774818;Vermelho;2003;Híbrido
Moraes;7733093;Física;68.913.475/0001-02;Vitor Martins;RR;Negociação;2024-08-11;06:56:53;Sim;Recente;3;False;False;True;True;False;True;False;False;9010.49;5618.99;5999.01;155;3;2024-05-26;7;D;Commodi ipsa voluptatem ipsum nam.;calebe73;Casa;Sistema A;2631081;Jurídica;Sousa;nihil;5573741981;GYH-5S70;08560151780;Branco;2001;GNV
Duarte Ferreira - ME;8304848;Física;05.386.721/0001-03;João Santos;AC;Atraso;2024-04-20;15:17:37;Sim;Fidelizado;0;True;True;False;False;False;False;True;True;9650.35;8120.87;16255.15;354;8;2024-02-03;57;B;Ratione vel consectetur fugit dignissimos cupiditate.;udias;Terreno;Sistema B;1380540;Jurídica;Machado;veniam;7212136748;PLK-9F15;85331457524;Vermelho;2021;Gasolina
Cunha;7204529;Jurídica;416.903.287-03;Dr. Vitor Hugo Rocha;RN;Negociação;2024-04-04;14:56:48;Sim;Recente;5;True;True;False;False;True;True;True;False;3479.96;6062.58;2282.45;179;8;2024-03-28;29;B;Consequuntur beatae numquam.;marina19;Carro;Sistema C;4197449;Jurídica;Peixoto Ltda.;nisi;3755858750;QMD-4Y03;71993728880;Preto;2019;Híbrido
Campos;2821278;Jurídica;26.573.198/0001-96;Emanuelly Silveira;DF;Negociação;2024-06-13;18:22:58;Não;Fidelizado;1;False;True;False;True;False;False;False;False;8708.87;6879.25;2064.64;329;2;2024-06-16;60;C;Alias labore consequuntur possimus beatae iste.;oliver18;Terreno;Sistema C;9115388;Física;Pires;magnam;8516611921;WHG-9R96;20419474031;Prata;2021;Gasolina
Lopes Ltda.;0676114;Física;07.942.586/0001-52;Maitê Campos;RS;Negociação;2024-04-10;06:22:55;Sim;Fidelizado;5;False;True;False;False;False;False;True;True;2504.93;7428.66;11814.07;253;8;2024-04-09;59;B;Harum vero provident vel nam.;arthur-gabrielsilveira;Moto;Sistema C;6491283;Física;Pimenta;sunt;7390677823;JKC-3B99;44029537970;Prata;2013;Gasolina
Souza;7696235;Jurídica;406.538.921-60;Dom da Mata;AL;Protesto;2024-01-19;09:44:15;Sim;Cliente VIP;1;False;False;False;True;True;False;True;False;8086.96;4426.24;2432.76;219;8;2024-09-27;14;B;Explicabo expedita vitae magnam illum.;ravy33;Carro;Sistema B;4089888;Física;Siqueira;alias;4080671968;OZU-6G88;46853471890;Prata;2020;Diesel
Correia;1237829;Física;45.728.013/0001-10;Dra. Rebeca Barros;PA;Pagamento;2024-01-26;10:26:16;Não;Inadimplente;2;True;False;True;False;False;False;True;True;1153.12;9262.28;902.05;220;10;2024-02-11;28;D;Beatae corporis modi labore ipsam blanditiis.;lucca25;Casa;Sistema A;1964006;Jurídica;Garcia;provident;4336090562;KKE-9Q33;04291207439;Branco;2023;Híbrido
Porto Ltda.;5302309;Física;20.756.984/0001-42;Alícia Barbosa;AL;Atraso;2024-06-18;19:20:27;Sim;Cliente VIP;0;False;False;True;False;True;False;True;False;3755.29;107.2;18126.46;26;1;2024-03-07;3;D;Beatae eum tempore id voluptates vero.;vitoria37;Terreno;Sistema C;614333;Física;Sales Martins S.A.;rem;9048867099;JCX-3A21;03877146677;Azul;2000;GNV
Cardoso Brito e Filhos;0036012;Jurídica;368.052.491-98;Dra. Mariah Cunha;SP;Protesto;2024-09-12;19:03:16;Não;Recente;5;True;True;False;True;True;False;False;True;4778.58;3606.84;12959.18;169;1;2024-02-19;18;A;Voluptates asperiores eum unde.;icosta;Carro;Sistema C;8321507;Física;Mendes;mollitia;2613259893;VPP-7B18;28066851807;Vermelho;2006;Híbrido
Alves Rezende - EI;4837950;Jurídica;09.726.385/0001-43;Luiz Fernando das Neves;PR;Pagamento;2024-09-15;08:15:11;Não;Inadimplente;5;False;False;False;True;False;True;False;False;8398.39;2854.66;11371.57;231;8;2024-08-21;37;D;Libero veritatis neque saepe ducimus.;pietra05;Moto;Sistema B;1373583;Física;Borges;similique;9913624303;PAO-0E55;69495236302;Prata;2012;Etanol
Macedo;5293652;Física;46.925.870/0001-72;Raul Barbosa;MG;Negociação;2024-09-14;16:43:08;Sim;Cliente VIP;1;True;True;False;True;False;True;True;True;6218.06;8419.92;19146.82;33;1;2024-08-24;8;B;Blanditiis voluptates sapiente numquam laudantium sequi.;vlima;Casa;Sistema A;6113899;Física;Montenegro S/A;distinctio;4884066919;EOK-7N87;94840785269;Prata;2004;Etanol
Souza;3224337;Física;869.150.237-12;Joana Pacheco;PA;Protesto;2024-05-16;00:20:53;Sim;Cliente VIP;4;False;False;True;True;False;False;True;True;5250.36;2785.77;12077.89;299;10;2024-09-19;5;C;Soluta explicabo totam voluptas placeat.;ecarvalho;Moto;Sistema A;503006;Física;Marques Almeida e Filhos;iure;7008555172;HUD-4Q69;51360370727;Azul;2020;Híbrido
Fernandes e Filhos;0187410;Jurídica;913.560.427-16;José Moraes;PB;Pagamento;2024-08-28;06:13:13;Não;Inadimplente;4;False;False;True;True;True;False;True;True;8462.34;4894.91;2015.23;126;1;2024-03-07;37;A;Fugit nisi vero odit.;crocha;Terreno;Sistema B;5095134;Jurídica;Barros S/A;dolorum;0646328005;FIE-1X45;27676570232;Vermelho;2019;Gasolina
Barros;3189897;Física;85.043.916/0001-81;Pietra Costela;MA;Atraso;2024-06-01;01:14:40;Não;Cliente VIP;2;False;True;True;True;True;True;True;True;9486.57;7086.21;11965.48;61;10;2024-05-08;23;D;Sapiente pariatur suscipit ipsum porro eligendi.;meloana-luiza;Casa;Sistema C;6651819;Física;Vargas;impedit;2035075125;CLY-6L32;37557371455;Preto;2015;GNV
Cirino e Filhos;5341379;Física;683.509.741-84;Sra. Ester Rios;GO;Protesto;2024-01-05;23:30:04;Não;Recente;0;False;True;False;True;True;False;False;False;2122.47;5843.11;11357.3;270;9;2024-06-07;15;A;Modi est delectus cum voluptatem.;joao-miguel93;Carro;Sistema C;7572634;Jurídica;Gonçalves Campos e Filhos;possimus;7341910271;ECP-8Z05;77215804745;Vermelho;2017;Gasolina
Garcia Jesus S/A;8873269;Física;32.698.045/0001-78;Murilo Melo;SC;Pagamento;2024-07-21;09:39:40;Não;Cliente VIP;1;True;False;True;True;False;True;True;True;8404.57;7015.17;15653.76;267;0;2024-01-05;43;A;Quas magni soluta.;cborges;Terreno;Sistema C;7009235;Jurídica;da Cruz Abreu e Filhos;ullam;8721410889;ZKL-2T79;09294060217;Prata;2013;Diesel
Moreira;3689834;Jurídica;791.503.286-03;Ana Luiza Cunha;RO;Negociação;2024-08-30;12:30:12;Sim;Recente;2;False;True;False;True;False;False;False;False;8506.08;5882.53;6631.19;283;0;2024-08-10;42;D;Error fugit voluptate quos.;nsousa;Carro;Sistema A;4679577;Jurídica;Cirino e Filhos;veniam;0295202722;BJV-8N30;13850792743;Azul;2015;Diesel
Moreira Mendonça S.A.;3993286;Jurídica;741.958.206-85;Ryan Costela;TO;Atraso;2024-04-25;12:39:22;Não;Recente;3;True;False;True;True;True;True;False;False;244.76;1185.38;19094.28;97;7;2024-07-13;37;A;Ab suscipit ea.;andradebryan;Casa;Sistema A;8743683;Física;Moreira;dignissimos;0283997148;WDG-2C85;16403803404;Branco;2022;Diesel
Dias da Conceição - ME;4792391;Jurídica;721.365.408-07;Sr. Arthur Gabriel Pimenta;BA;Protesto;2024-09-19;23:54:06;Não;Recente;3;True;True;False;False;False;True;True;False;5466.4;4323.65;1849.28;229;1;2024-02-25;45;A;Nemo modi debitis voluptas.;carlos-eduardo96;Moto;Sistema B;4795146;Jurídica;Gomes Marques e Filhos;omnis;6936556811;AEP-8V44;66631792251;Vermelho;2022;GNV
da Paz;1985558;Jurídica;934.856.127-82;Yasmin Monteiro;RN;Pagamento;2024-06-17;05:50:27;Não;Recente;5;True;True;True;False;False;False;True;True;2741.88;9106.02;7071.79;280;9;2024-05-29;53;C;Alias officia aliquam dignissimos assumenda laboriosam.;joseporto;Casa;Sistema C;5988649;Jurídica;Gonçalves;vel;6989363259;FWS-7W48;36164420607;Branco;2014;GNV
Brito - EI;0906013;Física;294.180.536-24;Isabella da Mota;MT;Negociação;2024-08-07;16:29:18;Sim;Cliente VIP;1;False;False;True;False;True;False;False;False;678.61;6792.5;16147.59;223;6;2024-02-25;9;C;A minus odio.;ferreiravinicius;Carro;Sistema B;4249894;Física;da Mota;unde;1885446010;PNF-5E48;20404478999;Vermelho;2021;Híbrido
Mendonça;9198238;Física;80.193.742/0001-10;Marcos Vinicius Castro;AC;Protesto;2024-07-11;12:25:37;Não;Recente;1;False;False;False;True;False;False;False;False;2744.69;1624.87;3532.4;38;6;2024-04-14;55;D;Culpa quisquam possimus consequatur fuga at.;juliaduarte;Terreno;Sistema B;4208510;Física;Almeida;porro;8411181889;DME-9R76;34097955020;Azul;2011;GNV
Nunes;0979983;Física;50.483.671/0001-29;Antônio Leão;SE;Atraso;2024-09-09;10:41:42;Não;Cliente VIP;5;True;False;True;True;True;True;False;True;8119.89;3947.2;11799.36;254;1;2024-08-04;23;D;Optio ex omnis adipisci doloribus qui.;martinsanna-liz;Casa;Sistema C;8511305;Física;Brito S.A.;quidem;8496394463;GSJ-8W99;76191480313;Prata;2023;Diesel
Souza;5872500;Jurídica;703.968.245-10;Lucas Abreu;RJ;Negociação;2024-01-03;02:59:10;Sim;Recente;1;True;False;False;False;True;False;False;False;8498.61;6601.17;11498.09;313;0;2024-07-11;50;A;Eligendi eveniet quidem quae ab.;mlopes;Moto;Sistema B;3834261;Jurídica;Gonçalves - EI;doloribus;5737378047;CWI-8X33;96630342399;Prata;2003;Gasolina
